,TIPO_CREATE,TIPO_PROCEDURE,ID,TIPO_AS,TIPO_BEGIN,TIPO_INSERT,TIPO_INTO,TIPO_VALUES,PUNTOYCOMA,TIPO_END,LPAREN,PMARCA,RPARENT,TIPO_EVAL,TIPO_DROP,TIPO_TABLE,RPAREN,TIPO_SELECT,TIPO_FROM,TYPO_WHERE,TIPO_AVG,TIPO_COUNT,TIPO_WHERE,TIPO_NOT,TIPO_NULL,TIPO_AUTOINCREMENT,COMA,,TIPO_PRIMARY_KEY,TIPO_FOREIGN_KEY,TIPO_REFERENCE,COMODIN,MAS,POR,MENOS,DIVIDE,MENOR,MAYOR,IGUAL,MAYORIGUAL,MENORIGUAL,AND,OR,NOT,(,),NUM,DECIMAL,TIPO_INT,TIPO_VARCHAR,TIPO_CADENAVAR,TIPO_DECIMAL,TIPO_DATETIME,$
Z,B,,,,,,,,,,,,,,B,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,TIPO_CREATE CR,,,,,,,,,,,,,,TIPO_DROP TIPO_TABLE ID PUNTOYCOMA,,,TIPO_SELECT CMD S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,,TIPO_PROCEDURE ID CS,,,,,,,,,,,,,,TIPO_TABLE ID LPAREN CT RPAREN PUNTOYCOMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,,,,TIPO_AS TIPO_BEGIN TIPO_INSERT TIPO_INTO ID K TIPO_VALUES K PUNTOYCOMA TIPO_END PUNTOYCOMA,,,,,,,LPAREN PMARCA G L RPARENT TIPO_AS TIPO_BEGIN TIPO_INSERT TIPO_INTO ID K TIPO_EVAL W PUNTOYCOMA TIPO_END PUNTOYCOMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,,,ID G WEW WES C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,,,,,,,,,,,,,,,,,,TIPO_FROM ID TYPO_WHERE E PUNTOYCOMA,,TIPO_AVG TIPO_FROM ID PUNTOYCOMA,TIPO_COUNT TIPO_FROM ID TIPO_WHERE E PUNTOYCOMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW,,,,,,,,,,,,,,,,,e,,,,,,,WETIPO_NOT TIPO_NULL,WETIPO_NULL,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WES,,,,,,,,,,,,,,,,,e,,,,,,,,,TIPO_AUTOINCREMENT,e,e,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,e,,,,,,,,,,COMA TETE D,e,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETE,,,ID,,,,,,,,,,,,,,H,,,,,,,,,,,H,H,H,,,,,,,,,,,,,,,,,,,H,H,H,H,H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,e,,,,,,,,,,,e,,,,,,,,,,,,,,,,,,,,,G WR WES C TETE,G WR WES C TETE,G WR WES C TETE,G WR WES C TETE,G WR WES C TETE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,,,,,,,,,,,LPAREN F RPAREN,,,,,,e,,,,,,,,,e,e,e,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,,,,,e,,,,,,,,,,,e,TIPO_PRIMARY_KEY LPAREN ID RPAREN H,TIPO_FOREIGN_KEY LPAREN ID RPAREN TIPO_REFERENCE ID LPAREN ID RPAREN,,,,,,,,,,,,,,,,,,,e,e,e,e,e,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,e,e,,LPAREN ID U RPAREN,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U,,,,,,,,,,,,,,,,,e,,e,,e,e,,,,,COMA ID U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMD,,,ID U,,,,,,,,,,,,,,,,e,,e,e,,,,,,,,,,COMODIN,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,,,,,,,,,e,,LPAREN PMARCA X RPAREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,,,,,,,,,,,,,,e,,,,,,,,,,COMA PMARCA X,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,e,,,,,,,,,,,,,,COMA PMARCA J,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G L,G L,G L,G L,G L,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,,,T E',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T E',,T E',T E',,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E',,,,,,,,,e,,,,,,,,,,,,,,,,,,,,,,,,MAS T E',POR T E',MENOS T E',DIVIDE T E',MENOR T E',MAYOR T E',IGUAL T E',MAYORIGUAL T E',MENORIGUAL T E',AND T E',OR T E',NOT T E',,e,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,,,F T',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F T',,F T',F T',,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T',,,,,,,,,e,,,,,,,,,,,,,,,,,,,,,,,,e,e,e,e,e,e,e,e,e,e,e,e,,e,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,( E ),,NUM,DECIMAL,,,,,,
G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIPO_INT,TIPO_VARCHAR,TIPO_CADENAVAR,TIPO_DECIMAL,TIPO_DATETIME,